                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7205,                 3.9756,                 1.4874,                0.00239,                0.67188,                0.07456,                  0.038,                      0,                    inf,                      0,                 0.0883,                 0.0013,                 0.0013
                      1,                  1.407,                 3.1676,                 1.2675,                0.00294,                0.82812,                0.30631,                0.19228,                      0,                    inf,                      0,               0.075687,              0.0026866,              0.0026866
                      2,                 1.4393,                 2.1625,                 1.2787,                0.09268,                0.57812,                0.47451,                0.26311,                      0,                    inf,                      0,               0.063059,              0.0040594,              0.0040594
                      3,                 1.4398,                  1.791,                  1.231,                0.00306,                0.85938,                0.46114,                0.26485,                      0,                    inf,                      0,               0.050418,              0.0054183,              0.0054183
                      4,                 1.4618,                 1.6644,                 1.2221,                      1,                0.06042,                0.61625,                0.31457,                      0,                    inf,                      0,               0.037763,              0.0067634,              0.0067634
                      5,                 1.6649,                  1.668,                 1.2875,                0.88402,                  0.375,                0.54292,                0.28757,                      0,                    inf,                      0,               0.025095,              0.0080946,              0.0080946
                      6,                 1.4885,                  1.541,                 1.2479,                0.70326,                0.44447,                0.61983,                0.28932,                      0,                    inf,                      0,               0.012412,              0.0094119,              0.0094119
                      7,                 1.5303,                 1.5752,                 1.2563,                0.61834,                 0.1875,                0.41918,                0.20979,                      0,                    inf,                      0,              0.0096535,              0.0096535,              0.0096535
                      8,                 1.5219,                  1.593,                 1.2943,                0.66792,                0.34375,                0.37594,                0.22275,                      0,                    inf,                      0,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.4934,                 1.4326,                 1.2683,                0.86495,                0.60055,                0.68749,                0.31077,                      0,                    inf,                      0,               0.009604,               0.009604,               0.009604
                     10,                 1.4004,                    inf,                 1.1672,                0.78529,                0.48438,                0.58424,                0.28243,                      0,                    inf,                      0,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.4994,                 1.4686,                 1.2691,                0.67907,                0.66129,                0.71175,                0.36005,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                     12,                 1.4529,                 1.4086,                 1.2447,                0.55153,                0.76562,                0.61633,                0.28423,                      0,                    inf,                      0,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.4779,                 1.4491,                 1.2913,                0.58226,                 0.5625,                0.54405,                0.23805,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                     14,                 1.5236,                 1.3665,                 1.2338,                0.66261,                    0.5,                0.59322,                0.32727,                      0,                    inf,                      0,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.5401,                 1.3076,                 1.2401,                0.64156,                0.71875,                0.70735,                0.34866,                      0,                    inf,                      0,               0.009307,               0.009307,               0.009307
                     16,                 1.4478,                 1.2122,                 1.2067,                0.68885,                0.73438,                0.71702,                0.35334,                      0,                    inf,                      0,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.4522,                 1.2211,                 1.2144,                0.68856,                 0.5625,                0.63097,                 0.2854,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                     18,                 1.4176,                 1.2707,                  1.212,                0.64433,                0.64062,                0.64791,                0.35805,                      0,                    inf,                      0,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.4934,                 1.2021,                 1.2887,                0.72736,                0.64062,                0.70107,                0.35427,                      0,                    inf,                      0,               0.009109,               0.009109,               0.009109
                     20,                 1.3851,                 1.1347,                 1.2021,                0.68497,                0.71349,                0.72907,                0.35647,                      0,                    inf,                      0,              0.0090595,              0.0090595,              0.0090595
                     21,                  1.488,                 1.1314,                 1.2384,                0.81256,                   0.75,                0.76158,                0.37225,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                     22,                 1.3007,                    inf,                 1.1507,                0.69988,                0.76562,                0.72406,                 0.3637,                      0,                    inf,                      0,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.3392,                 1.1212,                 1.1878,                0.69862,                0.73438,                0.68442,                0.34228,                      0,                    inf,                      0,               0.008911,               0.008911,               0.008911
